Key,Summary,Assignee,Reporter,Priority,Status,Resolution,Created,Updated,Closed,Due Date,Version,Story Points, Epic, Hours
JIRA-1,Enjoy remember number note number.,Steven,Dawn,Low,Closed,Duplicate,2023-09-24,2023-09-29,2023-10-01,2023-09-30,2.0,4
JIRA-2,Possible next pressure language.,Michael,Jose,Medium,Closed,Fixed,2024-08-07,2024-08-16,2024-08-21,2024-08-15,1.0,1
JIRA-3,World machine.,Manuel,Christopher,Low,Closed,Won't Fix,2024-03-07,2024-03-16,2024-03-21,2024-03-12,1.3,1
JIRA-4,Audience remain decade store.,Patrick,Robert,High,Closed,Won't Fix,2024-08-04,2024-08-11,2024-08-15,2024-08-18,1.3,8
JIRA-5,Send whose official.,Julia,Jason,Critical,Resolved,Fixed,2024-01-31,2024-02-02,,2024-02-12,1.1,7
JIRA-6,Such best so carry.,Jessica,Stefanie,Medium,Open,Unresolved,2024-01-10,2024-01-11,,2024-01-19,1.2,2
JIRA-7,Behind information especially.,Jillian,Amanda,Medium,In Progress,Unresolved,2024-08-14,2024-08-20,,2024-08-28,1.0,3
JIRA-8,Official hundred information reach list.,Carolyn,Karina,Medium,Closed,Won't Fix,2024-05-07,2024-05-15,2024-05-18,2024-05-16,1.0,7
JIRA-9,Try policy statement.,Valerie,Jacqueline,Critical,Resolved,Won't Fix,2023-08-31,2023-09-01,,2023-09-14,1.3,4
JIRA-10,Responsibility store bit minute.,Tammy,Theodore,Low,Resolved,Duplicate,2024-04-11,2024-04-21,,2024-04-20,1.2,6
JIRA-11,True while occur rest easy.,Daniel,Scott,Critical,Closed,Won't Fix,2024-04-23,2024-04-27,2024-05-02,2024-05-02,1.0,11
JIRA-12,Never green analysis.,Larry,Marc,Low,Resolved,Won't Fix,2024-03-21,2024-03-29,,2024-03-27,1.0,6
JIRA-13,Democratic six mission skill.,Robert,John,Low,Closed,Unresolved,2023-09-16,2023-09-21,2023-09-26,2023-09-25,2.0,4
JIRA-14,Final tend purpose until.,Joseph,Wendy,Critical,Closed,Unresolved,2024-03-06,2024-03-08,2024-03-09,2024-03-15,1.1,12
JIRA-15,Impact employee eye.,Brittany,Jeffery,Critical,Open,Unresolved,2024-06-12,2024-06-22,,2024-06-20,1.0,10
JIRA-16,Local arrive make consumer.,Kimberly,Kyle,High,Resolved,Unresolved,2023-12-17,2023-12-18,,2023-12-23,2.0,5
JIRA-17,System down.,Nicholas,Sarah,Critical,In Progress,Unresolved,2024-01-26,2024-02-01,,2024-02-07,1.0,1
JIRA-18,Treat type top girl around.,Rachel,Anne,Medium,Resolved,Unresolved,2023-11-17,2023-11-26,,2023-11-28,2.0,1
JIRA-19,Theory school coach.,Robert,Madeline,High,Resolved,Won't Fix,2023-10-12,2023-10-13,,2023-10-17,1.0,11
JIRA-20,Early mention.,Joel,Eugene,High,In Progress,Unresolved,2024-05-04,2024-05-09,,2024-05-18,2.0,1
JIRA-21,Win bank like management.,Christopher,Shannon,Medium,In Progress,Unresolved,2024-01-08,2024-01-13,,2024-01-21,2.0,9
JIRA-22,Space seek fish together.,Nicholas,Michael,High,Open,Unresolved,2023-08-17,2023-08-25,,2023-08-24,1.1,3
JIRA-23,Answer significant.,John,Jessica,Low,Closed,Fixed,2024-05-09,2024-05-11,2024-05-12,2024-05-23,1.3,12
JIRA-24,Same nature.,Erin,Eric,Low,Closed,Fixed,2023-09-17,2023-09-27,2023-09-30,2023-09-29,1.3,5
JIRA-25,Face my require.,Lauren,Donald,Medium,Closed,Won't Fix,2024-03-13,2024-03-21,2024-03-23,2024-03-26,2.0,11
JIRA-26,Turn interest.,Ronnie,Heather,Medium,Open,Unresolved,2023-12-23,2023-12-27,,2023-12-30,1.3,12
JIRA-27,Play hair case.,Sarah,Jake,Low,Open,Unresolved,2023-12-17,2023-12-26,,2023-12-24,1.3,12
JIRA-28,Visit south.,Robert,Jennifer,Low,Closed,Duplicate,2024-04-18,2024-04-22,2024-04-23,2024-04-27,1.2,8
JIRA-29,Yeah build cell many arm.,Robert,Cameron,Medium,Closed,Duplicate,2024-01-06,2024-01-08,2024-01-12,2024-01-18,1.0,13
JIRA-30,Leave near.,Daniel,Tiffany,High,Resolved,Unresolved,2024-01-02,2024-01-09,,2024-01-10,1.0,9
JIRA-31,Hotel trip.,Charles,Erik,Medium,In Progress,Unresolved,2024-08-02,2024-08-08,,2024-08-14,1.0,2
JIRA-32,Western likely.,Rodney,Elizabeth,High,In Progress,Unresolved,2023-11-02,2023-11-03,,2023-11-11,2.0,6
JIRA-33,Light senior level.,Samuel,Joseph,High,Resolved,Unresolved,2023-09-04,2023-09-08,,2023-09-16,1.3,5
JIRA-34,List service foot always.,Timothy,Andrew,High,Closed,Fixed,2023-11-23,2023-12-01,2023-12-03,2023-11-28,2.0,3
JIRA-35,Child peace style might PM.,Roger,Robyn,High,Resolved,Duplicate,2023-09-15,2023-09-16,,2023-09-30,1.3,12
JIRA-36,Make Democrat total bank best.,Judy,Kevin,High,Closed,Fixed,2024-06-29,2024-07-04,2024-07-06,2024-07-09,1.1,5
JIRA-37,Operation but ask marriage.,Ronald,Marcus,Critical,In Progress,Unresolved,2023-11-25,2023-11-26,,2023-12-08,2.0,11
JIRA-38,Over western different middle.,Richard,Jaime,High,Resolved,Won't Fix,2024-02-20,2024-02-28,,2024-02-26,1.1,12
JIRA-39,Western year western.,Monica,Amber,Critical,Resolved,Won't Fix,2024-03-19,2024-03-20,,2024-03-26,1.3,4
JIRA-40,School though.,Omar,April,Critical,Closed,Fixed,2023-10-15,2023-10-19,2023-10-24,2023-10-28,1.0,1
JIRA-41,Easy light if job.,George,Lisa,Critical,Resolved,Unresolved,2023-09-15,2023-09-18,,2023-09-21,1.1,4
JIRA-42,Water let buy rock.,Robert,Beth,Medium,Closed,Unresolved,2024-06-02,2024-06-10,2024-06-12,2024-06-16,1.1,6
JIRA-43,Final wrong interesting war.,Jacob,Kyle,High,Open,Unresolved,2023-09-09,2023-09-15,,2023-09-23,1.3,2
JIRA-44,Various down.,Michelle,Gregory,Medium,Resolved,Unresolved,2024-01-03,2024-01-11,,2024-01-17,1.2,12
JIRA-45,Break reason certainly let.,Caleb,Martha,Critical,Open,Unresolved,2024-01-17,2024-01-18,,2024-01-25,1.0,8
JIRA-46,Vote Mrs whom.,Jennifer,Laurie,High,Open,Unresolved,2024-04-03,2024-04-08,,2024-04-18,1.1,2
JIRA-47,Guess material rise.,Elizabeth,Brian,Critical,In Progress,Unresolved,2024-08-11,2024-08-14,,2024-08-20,1.2,8
JIRA-48,Quite spring growth.,Candice,Makayla,Medium,Open,Unresolved,2024-05-05,2024-05-13,,2024-05-14,1.0,4
JIRA-49,Industry bank run.,Michael,John,Critical,In Progress,Unresolved,2024-01-21,2024-01-27,,2024-01-30,2.0,7
JIRA-50,Respond sea find despite despite.,Jenny,Olivia,Low,In Progress,Unresolved,2024-02-15,2024-02-19,,2024-02-28,1.2,11
JIRA-51,Protect federal phone.,Linda,Michael,Medium,In Progress,Unresolved,2024-07-27,2024-08-04,,2024-08-07,1.0,7
JIRA-52,Senior full likely.,Ashley,John,Low,Open,Unresolved,2023-10-28,2023-10-30,,2023-11-09,1.0,5
JIRA-53,Outside market bill.,Tanya,John,Medium,In Progress,Unresolved,2023-10-25,2023-11-01,,2023-11-05,1.2,12
JIRA-54,Away remember debate everyone.,Blake,Tammy,High,In Progress,Unresolved,2024-04-02,2024-04-03,,2024-04-08,1.1,1
JIRA-55,Under rule article.,Shannon,Alexandra,Critical,Resolved,Fixed,2024-07-20,2024-07-21,,2024-07-31,1.3,9
JIRA-56,Ever best many.,Melissa,Ryan,Critical,In Progress,Unresolved,2024-06-15,2024-06-21,,2024-06-29,1.1,1
JIRA-57,Teach exactly born once management.,Denise,Benjamin,High,Closed,Duplicate,2024-07-03,2024-07-09,2024-07-11,2024-07-10,1.1,12
JIRA-58,So get religious fact.,Louis,Jodi,Medium,Closed,Unresolved,2023-09-09,2023-09-19,2023-09-21,2023-09-20,1.2,7
JIRA-59,Ten happen determine.,Maria,Sandra,Medium,Closed,Unresolved,2023-09-14,2023-09-20,2023-09-22,2023-09-22,1.1,3
JIRA-60,Low on themselves.,David,Sean,Critical,Resolved,Duplicate,2024-04-06,2024-04-07,,2024-04-14,1.1,7
JIRA-61,Great focus four.,Ronnie,Chad,High,Resolved,Won't Fix,2024-03-01,2024-03-07,,2024-03-16,1.0,13
JIRA-62,Similar approach environment.,Valerie,Jason,Medium,Resolved,Duplicate,2023-11-05,2023-11-06,,2023-11-17,2.0,3
JIRA-63,Politics guy beat decade she.,Megan,Sandra,High,Closed,Duplicate,2024-05-18,2024-05-27,2024-05-29,2024-06-02,2.0,1
JIRA-64,Lay here.,Jacob,Meagan,Critical,Closed,Duplicate,2023-09-13,2023-09-20,2023-09-24,2023-09-23,1.0,4
JIRA-65,Short dinner.,John,Anthony,Low,Resolved,Won't Fix,2024-06-06,2024-06-13,,2024-06-14,2.0,11
JIRA-66,Particular term benefit.,Michael,Brandon,High,Resolved,Duplicate,2023-09-24,2023-10-04,,2023-10-08,1.2,9
JIRA-67,Single issue second reason.,Kathleen,Anna,Medium,Open,Unresolved,2024-03-18,2024-03-23,,2024-03-23,2.0,13
JIRA-68,Safe cause war rich.,Sarah,Tyler,High,Resolved,Won't Fix,2023-09-13,2023-09-21,,2023-09-26,1.1,12
JIRA-69,Type determine religious.,Anthony,Don,Low,In Progress,Unresolved,2024-07-26,2024-07-27,,2024-08-10,2.0,5
JIRA-70,Value human state.,Norma,Matthew,Medium,In Progress,Unresolved,2023-11-11,2023-11-19,,2023-11-25,1.0,10
JIRA-71,Sit ever.,Todd,Stephanie,High,Open,Unresolved,2024-06-23,2024-06-27,,2024-07-08,1.0,7
JIRA-72,Successful course far professor.,Gloria,Edward,Low,In Progress,Unresolved,2023-11-10,2023-11-13,,2023-11-15,1.1,2
JIRA-73,Look purpose music.,Robert,Adam,High,Open,Unresolved,2024-08-02,2024-08-06,,2024-08-13,1.1,13
JIRA-74,Everyone art.,Angela,Donna,Critical,Open,Unresolved,2024-07-21,2024-07-22,,2024-07-31,1.2,10
JIRA-75,Study economy window success.,Benjamin,Kevin,Medium,Closed,Won't Fix,2024-01-01,2024-01-11,2024-01-13,2024-01-10,1.1,13
JIRA-76,Suddenly state grow people.,Kathleen,Dylan,Medium,Resolved,Unresolved,2024-07-19,2024-07-26,,2024-07-31,1.3,1
JIRA-77,Yourself skin.,Rachel,Luis,Low,Open,Unresolved,2024-04-14,2024-04-21,,2024-04-19,1.2,5
JIRA-78,Set son send candidate.,Lawrence,Erik,Low,Resolved,Fixed,2023-08-21,2023-08-23,,2023-08-26,1.1,7
JIRA-79,Security without million.,Amanda,Edward,Low,Closed,Duplicate,2024-01-29,2024-02-08,2024-02-11,2024-02-07,1.3,5
JIRA-80,Discussion financial almost.,Robert,John,High,Closed,Unresolved,2024-01-18,2024-01-21,2024-01-23,2024-02-02,1.1,13
JIRA-81,Seven vote difference.,James,Valerie,Low,Open,Unresolved,2024-03-17,2024-03-19,,2024-03-26,1.0,13
JIRA-82,Yet share cultural.,Gregory,Jamie,Low,Closed,Duplicate,2023-11-09,2023-11-15,2023-11-19,2023-11-20,1.3,8
JIRA-83,Middle cost rule.,Amanda,Katherine,Critical,Open,Unresolved,2024-06-13,2024-06-17,,2024-06-28,1.0,1
JIRA-84,News field spring ok.,Erin,Michael,Critical,In Progress,Unresolved,2024-01-08,2024-01-11,,2024-01-20,1.0,5
JIRA-85,Wide full sure.,Dana,Rebecca,High,Closed,Won't Fix,2024-08-14,2024-08-23,2024-08-24,2024-08-26,1.1,2
JIRA-86,Ok step career.,Rachel,Kristin,High,Open,Unresolved,2023-09-19,2023-09-24,,2023-09-27,1.1,10
JIRA-87,Use participant community candidate project.,Michael,Jessica,High,Open,Unresolved,2024-05-01,2024-05-05,,2024-05-09,1.2,4
JIRA-88,Wide soldier.,Edgar,Donald,Medium,Resolved,Won't Fix,2024-06-30,2024-07-02,,2024-07-07,1.2,2
JIRA-89,Him test.,Amanda,Thomas,Critical,In Progress,Unresolved,2023-10-02,2023-10-08,,2023-10-11,1.2,6
JIRA-90,Memory song surface.,Bryce,Leslie,Critical,Closed,Unresolved,2024-03-09,2024-03-19,2024-03-20,2024-03-19,1.3,2
JIRA-91,Ball eight true.,Jennifer,Angela,High,In Progress,Unresolved,2024-04-29,2024-05-07,,2024-05-13,1.2,1
JIRA-92,Guess accept nor door.,Cassandra,Brett,Critical,Open,Unresolved,2024-03-14,2024-03-22,,2024-03-27,1.3,3
JIRA-93,Character owner way leave most.,Cory,Jessica,High,Closed,Duplicate,2023-10-02,2023-10-09,2023-10-13,2023-10-11,1.2,8
JIRA-94,Husband beyond evening good build.,Kristina,Michael,Low,Open,Unresolved,2024-04-01,2024-04-07,,2024-04-06,1.0,3
JIRA-95,Bad white thus.,Billy,Brett,High,Resolved,Fixed,2023-10-31,2023-11-04,,2023-11-06,2.0,9
JIRA-96,Early name that market.,Michelle,Jessica,Low,In Progress,Unresolved,2024-07-11,2024-07-17,,2024-07-26,1.3,6
JIRA-97,New might throw camera single.,Allen,Steven,High,Closed,Won't Fix,2024-02-11,2024-02-18,2024-02-23,2024-02-26,1.0,7
JIRA-98,Effect discover.,Dustin,Katie,Critical,In Progress,Unresolved,2024-04-20,2024-04-27,,2024-04-30,1.2,9
JIRA-99,Think audience visit.,Robert,Pamela,Medium,Resolved,Won't Fix,2023-09-24,2023-09-25,,2023-10-02,1.3,13
JIRA-100,Star protect wrong.,Aaron,Shannon,High,Open,Unresolved,2023-09-29,2023-10-06,,2023-10-10,1.0,10
